title;descr;price;year;km;transmission;location;date_posted;link;date_imported;Tipo;Marca;Modelo;Comuna;Region;Pais
Changan cs1 2013;"CHANGAN CS
Precio a contado: $4.500.000 
Modelo: Cs 1
Tipo Vehículo: suv
Año: 2013
Tracción 4X2
Combustible: bencina

Consultas o dudas, no dudes en llamarnos o escribirnos (fono WhatsApp).

 DERSY MUÑOZ (+56) 9 63 46 79 95

Venta de vehículos.

MOTOR PRO.
Variante Carlos Ibáñez del campo 125 Viña del Mar.";4500000.0;2013;122399.0;Manual  ;Viña del Mar,  V Valparaíso; Ayer a las 10:40;https://www.yapo.cl/vehiculos/changan-cs1-2013_88016200;04-10-2023 3:12;SUV;CHANGAN;CS1;Viña del Mar; V Valparaíso;CHINA
Changan cs15 2019;Este CHANGAN CS15 2019 esta garantizado por Autopia:Si no te gusta, puedes devolverlo en 7 dias o 300 km. Valido por 6 meses. Respaldo Derco. Consulta con nuestros ejecutivos por financiamiento para este auto;7390000.0;2019;85390.0;Manual  ;Huechuraba,  Región Metropolitana; Ayer a las 09:07;https://www.yapo.cl/vehiculos/changan-cs15-2019_88299751;04-10-2023 3:12;SUV;CHANGAN;CS15;Huechuraba; Región Metropolitana;CHINA
Changan cs15 2021;CHANGAN CS15;7980000.0;2021;32500.0;Manual  ;Valdivia,  XIV Los Ríos; Ayer a las 08:27;https://www.yapo.cl/vehiculos/changan-cs15-2021_88300037;04-10-2023 3:12;SUV;CHANGAN;CS15;Valdivia; XIV Los Ríos;CHINA
Changan a500;"CHANGAN A-500
3 CORRIDAS DE ASIENTOS
- Año: 2018
- Motor: 1.5
- Km: 40.000";7600000.0;2018;40000.0;Manual  ;Lampa,  Región Metropolitana; 02 oct 2023 a las 23:37;https://www.yapo.cl/vehiculos/changan-a500_88298923;04-10-2023 3:12;SUV;CHANGAN;A500;Lampa; Región Metropolitana;CHINA
Changan m201 furgo ac - 2023 | 2504;"- precio real, sin letra chica ni condiciones
- vehiculo garantizado
- pie minimo $1396000 / 20%
- pie recomendado $2792000 / 40%
- recibimos tu vehiculo en parte de pagoð

ð½ equipamiento de comfort:
aire acondicionado
llantas de fierro con tapas aro 15""

ð½ equipiaminto de seguiridad:
sin airbags
neblineros
ð½ informacion tecnica:
97 hp
1200 cc
rendimiento max.:16.6 kms x lt
capacidad de estanque: 40 lts.
capacidad maletero: 4300 lts.";6980000.0;2023;9122.0;Manual  ;Vitacura,  Región Metropolitana; 02 oct 2023 a las 23:09;https://www.yapo.cl/vehiculos/changan-m201-furgo-ac-2023-2504_88299327;04-10-2023 3:12;SUV;CHANGAN;M201 FURGO AC;Vitacura; Región Metropolitana;CHINA
Changan alsvin 2022;En venta, sin deuda único dueño, excelente estado y mantenciones al día, auto económico y muy cómodo,, patente grabada en los vidrios, motor 1.4 gasolina 93 OC., reales interesados por favor;8100000.0;2022;34000.0;Manual  ;Quilpué,  V Valparaíso; 02 oct 2023 a las 19:32;https://www.yapo.cl/vehiculos/changan-alsvin-2022_88222685;04-10-2023 3:12;SUV;CHANGAN;ALSVIN;Quilpué; V Valparaíso;CHINA
Changan 2021 seminueva ;Camioneta seminueva con carroceria de fierro contiene aire acondicionado.Alza vidrios. Radio. Corta corriente. ;10500000.0;2021;8900.0;Manual  ;Puente Alto,  Región Metropolitana; 02 oct 2023 a las 15:12;https://www.yapo.cl/vehiculos/changan-2021-seminueva_88294352;04-10-2023 3:12;SUV;CHANGAN;ALSVIN;Puente Alto; Región Metropolitana;CHINA
Changan uni-t 2023;Este CHANGAN UNI-T 2023 esta garantizado por Autopia:Si no te gusta, puedes devolverlo en 7 dias o 300 km. Valido por 6 meses. Respaldo Derco. Consulta con nuestros ejecutivos por financiamiento para este auto;20090000.0;2023;17483.0;Automático  ;Huechuraba,  Región Metropolitana; 02 oct 2023 a las 14:18;https://www.yapo.cl/vehiculos/changan-uni-t-2023_88195519;04-10-2023 3:12;SUV;CHANGAN;UNI-T;Huechuraba; Región Metropolitana;CHINA
Changan hunter sport 2023//full equipo//prenda;"CHANGAN HUNTER SPORT  DIESEL 4X4 2023// FULL EQUIPO// PRENDA
$ 13.480.000

DOCUMENTOS AL DIA
AIRE ACONDICIONADO
DIESEL
4X4
BOTN DE ENCENDIDO
CAJA SEXTA
PANTALLA TOUCH
CAMARA DE RETROCESO
KILOMETRO : 200
LLANTAS
TAPIZ DE CUERO
DOS COPIAS DE LLAVES

Somos la mejor alternativa, compramos todo tipo de vehículos, automóviles, camioneta, furgones, camiones, motos u otros vehículos.
Con ESCRITURA PUBLICA compramos directo a dueños y no a terceros. Entregamos seguridad y confiabilidad al comprar y vender.
EVITA PROBLEMAS, todos los trámites de compra y venta se realizan en notaría, bajo ESCRITURA PÚBLICA.
Ofertas serías y un buen respaldo.
Somos ALFAUTOS compramos vehículos en prenda, deuda o multas. VIAJAMOS A REGIONES
Somos ALFAUTOS vendemos vehículos en prenda
- LOCAL ESTABLECIDO EN SANTIAGO.
DIRECCION :
AVENIDA JOSE JOAQUIN PRIETO VIAL 5770 SAN MIGUEL
*LLAMADOS Y WHATSAPP*
+56 9 32512259
+56 9 32512258";13480000.0;2023;200.0;Manual  ;Santiago,  Región Metropolitana; 02 oct 2023 a las 12:37;https://www.yapo.cl/vehiculos/changan-hunter-sport-2023full-equipoprenda_88192458;04-10-2023 3:12;SUV;CHANGAN;HUNTER;Santiago; Región Metropolitana;CHINA
Changan cs15 2020;"En excelente estado, todas las mantenciones al día. 
Única dueña. 
Aire acondicionado";7590000.0;2020;51000.0;Manual  ;San Miguel,  Región Metropolitana; 02 oct 2023 a las 12:16;https://www.yapo.cl/vehiculos/changan-cs15-2020_88292930;04-10-2023 3:12;SUV;CHANGAN;CS15;San Miguel; Región Metropolitana;CHINA
Changan cs35 plus 2022;..;12900000.0;2022;14000.0;Manual  ;La Serena,  IV Coquimbo; 02 oct 2023 a las 10:52;https://www.yapo.cl/vehiculos/changan-cs35-plus-2022_87445802;04-10-2023 3:12;SUV;CHANGAN;CS35;La Serena; IV Coquimbo;CHINA
Changan cs15 2023;"CHANGAN CS15 ELITE 1.5 AT 

UNIDAD EN EXCELENTES CONDICIONES!! MUY POCO KM!! 

SE RECIBE AUTO EN PARTE DE PAGO. 

CREDITO CONVENCIONAL 12 A 48 MESES. 

PLAN DE RENOVACION 24 O 36 MESES. 

SUZUVAL DERCOCENTER VIÑA DEL MAR.";11200000.0;2023;650.0;Automático  ;Viña del Mar,  V Valparaíso; 02 oct 2023 a las 09:50;https://www.yapo.cl/vehiculos/changan-cs15-2023_87865540;04-10-2023 3:12;SUV;CHANGAN;CS15;Viña del Mar; V Valparaíso;CHINA
Changan cx70 2020;PRECIO PUBLICADO INCLUYE BONO DE $500.000 POR COMPRA CON FINANCIAMIENTO, MÁXIMO 40% PIE Y MÍNIMO 24 CUOTAS, O DANDO AUTO EN PARTE DE PAGO, PRECIO CONTADO Y OTROS MEDIOS DE PAGO $9.990.000, ALZA VIDRIOS ELECTRICOS, DIRECCION ASISTIDA, FRENOS ABS, ESPEJOS ELECTRICOS, LLANTAS DE ALEACION,TRES CORRIDAS DE ASIENTOS;9490000.0;2020;54330.0;Manual  ;Temuco,  IX Araucanía; 02 oct 2023 a las 09:46;https://www.yapo.cl/vehiculos/changan-cx70-2020_88208515;04-10-2023 3:12;SUV;CHANGAN;CX70;Temuco; IX Araucanía;CHINA
Changan cs55 2021 aut;"BONO DE FINANCIAMIENTO APLICADO $800.000
VALOR CONTADO $11.790.000

CHANGAN CS55 ELITE 1.5T AUTOMATICO
AÑO 2021
88.000 KILÓMETROS
MOTOR 1.5cc. TURBO GASOLINA
TRANSMISIÓN AUTOMATICA 
4 AIRBAGS
FRENOS ABS
ISOFIX
DIRECCIÓN ASISTIDA
AIRE ACONDICIONADO (CLIMATIZADOR)
ASIENTOS ECOCUERO
CONTROL VELOCIDAD CRUCERO
CONTROL DE RADIO AL VOLANTE
BLUETOOTH
CIERRE CENTRALIZADO
ALZA VIDRIOS ELÉCTRICOS 
CONTROL DE ASCENSO EN PENDIENTES
CAMARA Y SENSORES DE RETROCESO
LLANTAS DE ALEACION
BARRAS DE TECHO

EXCELENTE ESTADO DE CARROCERIA, PINTURA, MOTOR Y TAPIZ, CONSULTE POR FINANCIAMIENTO, 30% DE PIE, SALDO EN CUOTAS MENSUALES. Av. Videla 335, frente al hospital de Coquimbo. cel. wsp +56950911480";10990000.0;2021;88000.0;Automático  ;Coquimbo,  IV Coquimbo; 02 oct 2023 a las 09:31;https://www.yapo.cl/vehiculos/changan-cs55-2021-aut_87892970;04-10-2023 3:12;SUV;CHANGAN;CS55;Coquimbo; IV Coquimbo;CHINA
Changan cs35 2017;"SE VENDE SUV CHANGAN CS35 AÑO 2017 COLOR AZUL CON 87.000 KMTS EN BUEN ESTADO.
VEHICULO UNICO DUEÑO, FULL EQUIPO, CON MANTENCIONES Y PAPELES AL DIA.
REGIMEN ZONA FRANCA.";5800000.0;2017;87000.0;Manual  ;Coyhaique,  XI Aysén; 02 oct 2023 a las 09:22;https://www.yapo.cl/vehiculos/changan-cs35-2017_88291746;04-10-2023 3:12;SUV;CHANGAN;CS35;Coyhaique; XI Aysén;CHINA
Changan md201 xl 2023;Vehículo en muy buenas condiciones, motor 1.5, equipado con dirección asistida y aire acondicionado.  Vehículo con garantía de la marca;8390000.0;2023;9722.0;Manual  ;Valparaíso,  V Valparaíso; 02 oct 2023 a las 08:51;https://www.yapo.cl/vehiculos/changan-md201-xl-2023_87515735;04-10-2023 3:12;SUV;CHANGAN;MD201 XL;Valparaíso; V Valparaíso;CHINA
Changan CX70 2019;3 corridas de asiento, muy cómoda, buen vehículo y buen precio;9600000.0;2019;72000.0;Manual  ;Viña del Mar,  V Valparaíso; 02 oct 2023 a las 08:08;https://www.yapo.cl/vehiculos/changan-cx70-2019_88291449;04-10-2023 3:12;SUV;CHANGAN;CX70;Viña del Mar; V Valparaíso;CHINA
Changan ms 201 año 2022;O permuto por changan A 500 buen año ;7500000.0;2022;9.0;Manual  ;Teodoro Schmidt,  IX Araucanía; 01 oct 2023 a las 23:39;https://www.yapo.cl/vehiculos/changan-ms-201-ano-2022_88290122;04-10-2023 3:12;SUV;CHANGAN;MS 201;Teodoro Schmidt; IX Araucanía;CHINA
Changan CX 70;"SUV con gran espacio interior.
Capacidad de 7 pasajeros.
Motor 1.5 lts. Turbo 
Diseñado para usar con gasolina 93 octanos.
Rendimiento 12 kms/Lt.
Camara de retroceso y lateral.
Sensores delanteros y traseros.
Climatizador.
Radio pantalla táctil.
Espejos eléctricos y abatibles.
Sunroof eléctrico.
Transmisión manual 6 velocidades.
Asientos de cuero.

Para mayor información y detalles llamar o escribir al WhatsApp";9500000.0;2020;24000.0;Manual  ;Natales,  XII Magallanes & Antártica; 01 oct 2023 a las 21:02;https://www.yapo.cl/vehiculos/changan-cx-70_88289411;04-10-2023 3:12;SUV;CHANGAN;CX 70;Natales; XII Magallanes & Antártica;CHINA
Changan CX70 full equipo 2021;"Changan CX70 full equipo
Aire acondicionado 
Cierre centralizado 
Manual
Motor 1.6
3 corridas de asiento 
Cámara de retroceso 
42.××× kilómetros 
Excelente auto familiar sin ningún detalle.
Precio algo conversable.";10650000.0;2021;42000.0;Manual  ;Requínoa,  VI O'Higgins; 01 oct 2023 a las 15:38;https://www.yapo.cl/vehiculos/changan-cx70-full-equipo-2021_88287387;04-10-2023 3:12;SUV;CHANGAN;CX70;Requínoa; VI O'Higgins;CHINA
Changan uni-t 2023;Este CHANGAN UNI-T 2023 esta garantizado por Autopia:Si no te gusta, puedes devolverlo en 7 dias o 300 km. Valido por 6 meses. Respaldo Derco. Consulta con nuestros ejecutivos por financiamiento para este auto;20990000.0;2023;7093.0;Automático  ;Huechuraba,  Región Metropolitana; 01 oct 2023 a las 13:01;https://www.yapo.cl/vehiculos/changan-uni-t-2023_88124142;04-10-2023 3:12;SUV;CHANGAN;UNI-T;Huechuraba; Región Metropolitana;CHINA
Changan cx70 2022;Este CHANGAN CX70 2022 esta garantizado por Autopia:Si no te gusta, puedes devolverlo en 7 dias o 300 km. Valido por 6 meses. Respaldo Derco. Consulta con nuestros ejecutivos por financiamiento para este auto;13190000.0;2022;13200.0;Automático  ;Huechuraba,  Región Metropolitana; 01 oct 2023 a las 11:24;https://www.yapo.cl/vehiculos/changan-cx70-2022_88124432;04-10-2023 3:12;SUV;CHANGAN;CX70;Huechuraba; Región Metropolitana;CHINA
Changan md201 2023;EN EXCELENTE ESTADO, CON GARANTIA DE LA MARCA, TAN SOLO 174 KILOMETROS, ES LA VERSION XL 1500 CC, TRAMITAMOS CREDITO HASTA 48 MESES;7990000.0;2023;174.0;Manual  ;Temuco,  IX Araucanía; 01 oct 2023 a las 11:06;https://www.yapo.cl/vehiculos/changan-md201-2023_88208755;04-10-2023 3:12;SUV;CHANGAN;MD201;Temuco; IX Araucanía;CHINA
Changan changan 2022;Este CHANGAN CHANGAN 2022 esta garantizado por Autopia:Si no te gusta, puedes devolverlo en 7 dias o 300 km. Valido por 6 meses. Respaldo Derco. Consulta con nuestros ejecutivos por financiamiento para este auto;19490000.0;2022;8391.0;Automático  ;Huechuraba,  Región Metropolitana; 01 oct 2023 a las 10:39;https://www.yapo.cl/vehiculos/changan-changan-2022_88124147;04-10-2023 3:12;SUV;CHANGAN;ALSVIN;Huechuraba; Región Metropolitana;CHINA
Changan cs15 2017;"Vehículo en excelente estado, papeles al día. Contamos con crédito automotriz, pie mínimo del 30%, tarjetas bancarias.

Único dueño 
Full equipo ac 
Doble airbag 
Llantas 
Dirección hidráulica 
Alza vidrios eléctricos 
Espejos eléctricos 
Excelente 

Llamar o wsp al +56975167269 o +56992267503";6590000.0;2017;55000.0;Manual  ;La Florida,  Región Metropolitana; 01 oct 2023 a las 10:09;https://www.yapo.cl/vehiculos/changan-cs15-2017_87571165;04-10-2023 3:12;SUV;CHANGAN;CS15;La Florida; Región Metropolitana;CHINA
Changan alsvin 2021 oferta;"Recibimos tu Usado en parte de pago. Contamos con Financiamiento Crediticio y GARANTÍA

Changan Alsvin Elite AUT 2021

??Motor 1.5cc Bencina
??38.333 km
??Aire Acondicionado
??Cámara y sensores de retroceso
??Caja AT
??Cierre centralizado
??Control en volante
??Velocidad crucero
??Neblineros
??Función Auto Stop
??Control de estabilidad
??Asientos Ecocuero Isofix
??Sunroof
??Radio Touch con Bluetooth

Agenda tu Visita y/o consulta al WhatsApp 
AVENIDA ALEMANIA 393";8990000.0;2021;38324.0;Manual  ;Los Ángeles,  VIII Biobío; 01 oct 2023 a las 08:47;https://www.yapo.cl/vehiculos/changan-alsvin-2021-oferta_87424934;04-10-2023 3:12;SUV;CHANGAN;ALSVIN;Los Ángeles; VIII Biobío;CHINA
CHANGAN CS15 Único dueño;SUV poco uso, pantalla- cámara trasera, GPS, corta corriente, grabados en todos los vidrios además de ahumados, mantencion en agencia ;8600000.0;2022;13000.0;Manual  ;Estación Central,  Región Metropolitana; 01 oct 2023 a las 08:33;https://www.yapo.cl/vehiculos/changan-cs15-unico-dueno_88286220;04-10-2023 3:12;SUV;CHANGAN;CS15;Estación Central; Región Metropolitana;CHINA
Changan cs35 ;"Único dueño
Motor 1.6
Mantenciones al día 
Detalles estéticos
Papeles al día";6500000.0;2014;136703.0;Manual  ;La Cisterna,  Región Metropolitana; 01 oct 2023 a las 02:41;https://www.yapo.cl/vehiculos/changan-cs35_88285931;04-10-2023 3:12;SUV;CHANGAN;CS35;La Cisterna; Región Metropolitana;CHINA
Changan cx70 2021;"Changan CX70 full equipo 
aire acondicionado 
cierre centralizado
manual
motor 1.6
3 corridas de asiento
cámara de retroceso 
42.xxx kilometraje
auto sin ningún detalle 
conversable 
único dueño
llamar al fono";10750000.0;2021;42000.0;Manual  ;Requínoa,  VI O'Higgins; 30 sep 2023 a las 23:18;https://www.yapo.cl/vehiculos/changan-cx70-2021_88285573;04-10-2023 3:12;SUV;CHANGAN;CX70;Requínoa; VI O'Higgins;CHINA
Changan cs15 2022;"Hola Amigos. Por apuro vendo mi New Changan CS 15 Elite Automatica 2022 (para casa).
Esta impecable, a toda prueba y con mejoras.
Sin multas y al dia.
A punto de cumplir 20 mil Km. Manutención realizada hace 2 semanas
Puse:
Laminas de seguridad Certificadas.
Corta corriente
Cambie parlantes y agrego twitters, a las 4 puertas mas sub woofer debajo asiento copiloto.
Luces Led 360, luces led interior
Motor con CADENA

Aire acondicionado, sensores, camara, intermitentes en retrovisores,";9000000.0;2022;19500.0;Automático  ;San Joaquín,  Región Metropolitana; 30 sep 2023 a las 20:28;https://www.yapo.cl/vehiculos/changan-cs15-2022_88284891;04-10-2023 3:12;SUV;CHANGAN;CS15;San Joaquín; Región Metropolitana;CHINA
Changan cs1 2017;"Se vende por renovación Changan CS 1 Cross , año 2017 segunda dueña , papeles al día , amplía maletera .. $4.900.00 CONVERSABLE. 

Reales interesados llamar al fono.";4900000.0;2017;66750.0;Manual  ;Rancagua,  VI O'Higgins; 30 sep 2023 a las 17:16;https://www.yapo.cl/vehiculos/changan-cs1-2017_88224004;04-10-2023 3:12;SUV;CHANGAN;CS1;Rancagua; VI O'Higgins;CHINA
Changan cs35 lux 2020;EXCELENTE ESTADO RECIBO VEHICULO FINANCIAMIENTOS FALABELLA AUTOFIN TANNER UNIDAD TARJETAS BANCARIAS;10280000.0;2020;48511.0;Automático  ;Cerrillos,  Región Metropolitana; 30 sep 2023 a las 16:09;https://www.yapo.cl/vehiculos/changan-cs35-lux-2020_88283683;04-10-2023 3:12;SUV;CHANGAN;CS35 LUX;Cerrillos; Región Metropolitana;CHINA
Changan cs35 2020;Este CHANGAN CS35 2020 esta garantizado por Autopia:Si no te gusta, puedes devolverlo en 7 dias o 300 km. Valido por 6 meses. Respaldo Derco. Consulta con nuestros ejecutivos por financiamiento para este auto;10390000.0;2020;38594.0;Manual  ;Huechuraba,  Región Metropolitana; 30 sep 2023 a las 15:32;https://www.yapo.cl/vehiculos/changan-cs35-2020_88124389;04-10-2023 3:12;SUV;CHANGAN;CS35;Huechuraba; Región Metropolitana;CHINA
Changan alsvin 2022 LIBERADO;SE VENDE AUTOMOVIL LIBERADO, MARCA CHANGAN MODELO ALSVIN LUXURY MT. COLOR NEGRO, FULL, FRENOS ABS, AIR BACK, AIRE ACONDICIONADO, PANTALLE DE RETROCESO, SENSORES DE ACERCAMIENTO, SISTEMA ANTIDERRAPE, LLANTAS DE MAGNECIO, SISTEMA D LUCES INTELIGENTES,ASIENTOS DE CUERO, SELLO VERDE,  EXCELENTES CONDICIONES, POR APURO. OPORTUNIDAD. VALOR $ 6.900.000.;6900000.0;2022;0.0;Manual  ;Iquique,  I Tarapacá; 30 sep 2023 a las 11:50;https://www.yapo.cl/vehiculos/changan-alsvin-2022-liberado_88077694;04-10-2023 3:12;SUV;CHANGAN;ALSVIN;Iquique; I Tarapacá;CHINA
Changan cs15 2021;PRECIO PUBLICADO INCLUYE BONO DE $500.000 POR COMPRA CON FINANCIAMIENTO, MÁXIMO 40% PIE Y MÍNIMO 24 CUOTAS, O DANDO AUTO EN PARTE DE PAGO, PRECIO CONTADO Y OTROS MEDIOS DE PAGO $7.990.000, ALZA VIDRIOS ELECTRICOS, DIRECCION ASISTIDA, FRENOS ABS, ESPEJOS ELECTRICOS, LLANTAS DE ALEACION;7490000.0;2021;41930.0;Manual  ;Temuco,  IX Araucanía; 30 sep 2023 a las 11:29;https://www.yapo.cl/vehiculos/changan-cs15-2021_88132356;04-10-2023 3:13;SUV;CHANGAN;CS15;Temuco; IX Araucanía;CHINA
Changan Cs15 Luxury Hb 1.5 2021;"LUXURY HB 1.5  2021
VERSION LUXURY, CREDITO AUTOMOTRIZ HASTA 48 MESES, ACEPTAMOS AUTOS EN PARTE DE PAGO Y TARJETAS DE CREDITO
Aire Acondicionado, Cierre centralizado, Alza vidrio delanteros, Alzavidrios eléctricos traseros, Airbag conductor, Airbag acompanante";7990000.0;2021;30000.0;Manual  ;Las Condes,  Región Metropolitana; 30 sep 2023 a las 10:47;https://www.yapo.cl/vehiculos/changan-cs15-luxury-hb-15-2021_88063296;04-10-2023 3:13;SUV;CHANGAN;CS15;Las Condes; Región Metropolitana;CHINA
Changan hunter 2021;Este CHANGAN HUNTER 2021 esta garantizado por Autopia:Si no te gusta, puedes devolverlo en 7 dias o 300 km. Valido por 6 meses. Respaldo Derco. Consulta con nuestros ejecutivos por financiamiento para este auto;14990000.0;2021;65000.0;Manual  ;Huechuraba,  Región Metropolitana; 30 sep 2023 a las 10:17;https://www.yapo.cl/vehiculos/changan-hunter-2021_87996291;04-10-2023 3:13;SUV;CHANGAN;HUNTER;Huechuraba; Región Metropolitana;CHINA
Changan cs55 mt 1.5 2022;..;11980000.0;2022;17900.0;Manual  ;La Reina,  Región Metropolitana; 30 sep 2023 a las 09:27;https://www.yapo.cl/vehiculos/changan-cs55-mt-15-2022_87651034;04-10-2023 3:13;SUV;CHANGAN;CS55;La Reina; Región Metropolitana;CHINA
